project,bugId,repairActions,repairPatterns,repairTools,files,methods,classes,linesAdd,linesRem,linesMod,sizeInLines,chunks,spreadAllLines,spreadCodeOnly,mdAdd,mdRem,mdRen,mdParAdd,mdParRem,mdRetTyChange,mdParTyChange,mdModChange,mdOverride,mcAdd,mcRem,mcRepl,mcParSwap,mcParAdd,mcParRem,mcParValChange,mcMove,objInstAdd,objInstRem,objInstMod,varAdd,varRem,varRepl,exTryCatchAdd,exTryCatchRem,exThrowsAdd,exThrowsRem,condExpRed,condExpExpand,condExpMod,condBranIfAdd,condBranIfElseAdd,condBranElseAdd,condBranCaseAdd,condBranRem,assignAdd,assignRem,assignExpChange,loopAdd,loopRem,loopCondChange,loopInitVector,loopInitChange,tyChange,tyModChange,tyObj2Met,tyAdd,typImpInterf,retExpChange,retBranchAdd,retRem,wrapsIf,wrapsIfElse,wrapsElse,wrapsTryCatch,wrapsMethod,wrapsLoop,unwrapIfElse,unwrapMethod,unwrapTryCatch,condBlockExcAdd,condBlockRetAdd,condBlockOthersAdd,condBlockRem,copyPaste,missNullCheckP,missNullCheckN,expLogicExpand,expLogicReduce,expLogicMod,expArithMod,initFix,codeMove,wrongVarRef,wrongMethodRef,singleLine,constChange,notClassified,blockRemove,fixAPI,wrongComp,missComp,others,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size10+,Observations,rtAcs,rtKali,rtDynaMoth,rtGenProg,rtDeepRepair,rtCardumen,rtssFix,rtHDRepair,rtElixir,rtJAID,rtGPFL,rtNopol
Chart,1,1,2,7,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,,,,,,Change Operator,,X,X,X,X,X,,,,X,X,
Chart,2,4,2,0,1,2,1,14,0,0,14,8,493,318,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Chart,3,1,1,6,1,1,1,2,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,Missing initialization,,,,X,X,X,,,X,,X,X
Chart,4,1,2,3,1,1,1,2,0,0,2,2,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,X,,,X,,,,,,X
Chart,5,4,2,7,1,1,1,4,0,1,5,2,4,2,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,X,X,X,X,X,,,,,X,X
Chart,6,8,1,1,1,1,1,7,0,1,8,1,0,0,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,X,,,,,,
Chart,7,2,3,4,1,1,1,0,0,2,2,2,1,1,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,X,X,X,,,,,X,
Chart,8,1,3,2,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,x,,,,,,,,,,x,Changes params passed to constructor.,,,,,,,,X,X,,,
Chart,9,1,2,6,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,X,,X,X,,,X,X,,X
Chart,10,2,2,0,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Chart,11,1,2,2,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,x,,,,,,,,,,,Replaces var referencing of target object of a call.,,,,,,X,,,X,,,
Chart,12,3,3,3,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,"It involves a ""wrap with method"", but the real change is converting from a class attribute assignment to a ""set"" method call.",,,,,X,X,,,,,X,
Chart,13,4,3,7,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,x,,,,,,,,,,x,,,X,X,X,X,X,,,X,,X,
Chart,14,1,3,2,2,4,2,12,0,0,12,4,518,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,X,,,,X,,,,,,,
